,MSE,RMSE,MAE,R²
Train,293.4394152000265,17.13007341490475,9.349833109025353,0.8279395116048771
Validation,307.44363634095896,17.534070729324636,9.325829019717617,0.4189541737166349
Test,385.7326784991386,19.64007837303962,10.5143447412265,0.43001703219655607
