fold,train_size,val_size,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,9974,9970,0.9170362052874118,0.6112981398895281,14.869866341150866,21.028049716489846,7.722471295952397,11.533305646116398
2,19944,9970,0.8811432274473701,0.3861647067431119,15.07023344348347,35.38960280318265,7.7200167308053596,19.488435944711775
3,29914,9970,0.7989335863404445,0.4246034695624522,20.22411383091994,29.81085668437812,12.999507598244854,14.55800150862895
4,39884,9970,0.8083129438977785,0.5273980059090937,19.248013142106156,25.037820575738895,11.810095700691937,12.154591382121485
5,49854,9970,0.8107059765798796,0.733685104063752,18.51986146308928,17.673353960467235,10.261608303199182,9.502263126389327
