date,datetime_utc,id,latitude,longitude,temperature_celsius,pressure_mb,wind_u,wind_v,NO2,CO,O3,AOD,sensor_name,building_density,road_density_km,industrial_presence,green_space_fraction,relative_humidity,wilaya,Prediction
2026-02-16,2026-02-16 00:00:00,1,27.162714,-1.528017,14.694053904215536,990.7181656901042,-0.1629231770833333,-1.845198671023051,5.256561559179887e-05,0.0291071573292494,0.1246940467715348,0.1679999999999999,Unknown,0,0.0,0,0,23.734827863848125,Adrar,29.197508
2026-02-16,2026-02-16 00:00:00,1,36.190065,2.087176,11.144737497965536,987.0702490234376,3.4193522135416665,1.2754881779352825,8.922384551163782e-05,0.0247364566630992,0.1431133610366882,0.1679999999999999,Unknown,29,161.40216716607935,0,0,78.98761572421687,Ain-Defla,7.614866
2026-02-16,2026-02-16 00:00:00,1,35.495151,-1.253336,-10272.15,-99.99,1.6282145182291663,-0.2848552465438843,5.673316919689861e-05,0.0260272409521746,0.1392241724466447,1.8595,Unknown,0,0.0,0,0,100.0,Ain-Temouchent,30.944422
2026-02-16,2026-02-16 00:00:00,1,36.776493,3.07038,-10272.15,-99.99,,,0.0001231731733833,0.0332361781230115,0.1447605976875919,,Unknown,5088,326.22079496512896,5,1234,100.0,Alger,36.77701
2026-02-16,2026-02-16 00:00:00,1,37.023449,7.48249,-10272.15,-99.99,,,6.518032598762891e-05,0.0353175285984453,0.1526693200342447,,Unknown,0,0.0,0,0,100.0,Annaba,30.769703
2026-02-16,2026-02-16 00:00:00,1,35.337452,6.014056,6.2484972635905365,873.2914990234375,0.62939453125,-0.6031128962834676,7.147210285714729e-05,0.024455442210739,0.1434431696344953,,Unknown,0,29.78213340408536,0,1,63.64598525788472,Batna,41.36202
2026-02-16,2026-02-16 00:00:00,1,31.73137,-2.221694,15.22001419067385,930.5660823567708,0.4365234375,-3.4840129613876343,4.7503912656673857e-05,0.0217935225970211,0.1311809545819653,0.0655,Unknown,0,50.72512901754831,0,0,20.49748290334708,Bechar,48.35167
2026-02-16,2026-02-16 00:00:00,1,36.828824,4.971619,-10272.15,-99.99,,,9.315328083770442e-05,0.0254331060662701,0.14775870524723,,Unknown,793,47.26323025959142,1,0,100.0,Bejaia,29.194502
2026-02-16,2026-02-16 00:00:00,1,34.919188,6.006627,9.641807810465536,930.0248323567708,1.0072428385416667,-2.1786133845647178,6.384265365547887e-05,0.0274373893516734,0.1448583134638822,0.188,Unknown,0,13.97681547413892,0,0,59.89317320330972,Biskra,10.017242
2026-02-16,2026-02-16 00:00:00,1,36.483479,2.915771,11.92875442504885,969.7452490234376,3.8019612630208335,1.2663532495498655,8.204974484673808e-05,0.0275048913212982,0.1437414753264209,,Unknown,323,117.60073005272612,0,0,69.95485630791157,Blida,32.316616
2026-02-16,2026-02-16 00:00:00,1,21.062749,1.122899,17.18729934692385,972.7269156901042,-4.356770833333333,-4.873315533002217,4.750281994280004e-05,,0.1199732043764987,0.1635,Unknown,0,58.313286240020695,0,0,15.760967284820182,Bordj Baji Mokhtar,427.50824
2026-02-16,2026-02-16 00:00:00,1,36.072944,4.66996,7.1410753885905365,910.9756656901042,1.8336588541666667,-0.1811565160751342,9.811463025580836e-05,0.0282723472858369,0.1444026576710375,,Unknown,917,90.58000708126627,1,0,72.75512397539782,Bordj Bou Arrer,45.77305
2026-02-16,2026-02-16 00:00:00,1,36.256023,3.785109,9.676882680257163,953.6414990234376,2.389119466145833,-0.4920696020126343,7.981291587149763e-05,0.0220413134680372,0.1428361887204021,0.203,Unknown,131,55.480204753679374,0,0,70.99363660332509,Bouira,11.29661
2026-02-16,2026-02-16 00:00:00,1,36.860151,3.769201,14.300499216715536,1006.1227490234374,8.856038411458334,2.193416237831116,7.055070352232844e-05,0.0308171271201489,0.1449769094918074,,Unknown,126,79.95551574629822,0,0,71.19847135588928,Boumerdes,9.978252
2026-02-16,2026-02-16 00:00:00,1,29.202518,-3.068819,15.329063669840536,965.9573323567708,1.8543701171875,-1.600325624148051,5.2122036956688645e-05,0.0247950342917948,0.1262074488305221,0.103,Unknown,0,0.0,0,0,18.25774503045574,Béni Abbès,46.67616
2026-02-16,2026-02-16 00:00:00,1,36.505958,1.401213,-10272.15,-99.99,,,8.562951281583715e-05,,0.1417771502983452,,Unknown,299,41.49932221430206,0,0,100.0,Chlef,571.71313
2026-02-16,2026-02-16 00:00:00,1,36.337315,6.676904,8.559451039632165,934.0981656901042,2.5888671875,0.2449705998102823,8.175564554230961e-05,0.0254660935968114,0.1459963261355081,,Unknown,2622,142.20567293689837,0,1,71.07117971940012,Constantine,46.509033
2026-02-16,2026-02-16 00:00:00,1,24.432546,8.811641,10.85355911254885,906.8314990234376,-1.2261149088541667,-4.114506125450134,4.745643092061745e-05,0.0242571064092319,0.1276532725830934,0.032,Unknown,0,0.0,0,0,27.582168740597947,Djanet,51.56463
2026-02-16,2026-02-16 00:00:00,1,34.784811,3.313203,7.1044542948405365,891.8885823567708,3.7860107421875,-2.040124615033468,5.394598499336904e-05,0.0229390023329959,0.1363703497088586,,Unknown,0,29.16170422038599,0,0,77.08849116979455,Djelfa,36.114426
2026-02-16,2026-02-16 00:00:00,1,33.440229,0.797451,7.395958201090536,876.2114990234375,3.826171875,-4.584944764773051,5.439594007901003e-05,0.0210140197966078,0.1341314507441172,0.089,Unknown,0,12.914845227066348,0,0,56.70058497501894,El Bayadh,11.91177
2026-02-16,2026-02-16 00:00:00,1,33.929812,5.68569,15.936973826090536,1012.3439990234376,4.361775716145833,-3.390242616335551,5.137620880073153e-05,0.0269715057796527,0.1441928437935746,0.163,Unknown,0,36.19440970841093,0,0,43.49252431230627,El M'Ghair,6.759194
2026-02-16,2026-02-16 00:00:00,1,30.796481,2.971874,13.222130076090536,970.9469156901042,3.3128662109375,-2.5292400121688843,5.204234408202496e-05,0.0259357799392324,0.1328393969472733,0.061,Unknown,0,0.0,0,0,34.45846367487593,El Menia,19.925892
