date,datetime_utc,id,latitude,longitude,temperature_celsius,pressure_mb,wind_u,wind_v,NO2,CO,O3,AOD,sensor_name,building_density,road_density_km,industrial_presence,green_space_fraction,relative_humidity,wilaya,Prediction
2026-05-06,2026-05-06 00:00:00,1,27.162714,-1.528017,30.23943990071615,973.1326806640625,6.734875361124675,-1.099108139673869,5.165211473584706e-05,0.02893153183831335,0.13210565673506852,0.20349999999999996,Unknown,0,0.0,0,0,20.807645608424956,Adrar,31.09779
2026-05-06,2026-05-06 00:00:00,1,36.190065,2.087176,17.47259419759115,974.1810139973958,-0.13910738627115884,-0.43948086102803546,8.875707967237433e-05,0.02980076308230132,0.1595103192613291,0.157,Unknown,29,161.40216716607935,0,0,67.89729253269377,Ain-Defla,6.18403
2026-05-06,2026-05-06 00:00:00,1,35.495151,-1.253336,-10272.15,-99.99,1.6282145182291663,-0.2848552465438843,7.200825520040677e-05,0.03171165382974156,0.16030647332319617,,Unknown,0,0.0,0,0,100.0,Ain-Temouchent,30.944422
2026-05-06,2026-05-06 00:00:00,1,36.776493,3.07038,-10272.15,-99.99,,,0.0001377799056108522,0.03035832692034227,0.16021734441316224,0.17500000000000002,Unknown,5088,326.22079496512896,5,1234,100.0,Alger,5.579285
2026-05-06,2026-05-06 00:00:00,1,37.023449,7.48249,-10272.15,-99.99,,,5.939206970055881e-05,,0.15326467654009582,,Unknown,0,0.0,0,0,100.0,Annaba,573.95746
2026-05-06,2026-05-06 00:00:00,1,35.337452,6.014056,13.657327270507835,865.9830973307293,-1.5053997039794922,-0.8729525407155355,6.606300383581767e-05,0.02703262278007888,0.14802917490077605,,Unknown,0,29.78213340408536,0,1,74.8922640996678,Batna,25.6469
2026-05-06,2026-05-06 00:00:00,1,31.73137,-2.221694,23.48431294759115,912.7551806640626,0.24199612935384116,-1.1864697933197021,6.585206524062961e-05,0.025192780862875686,0.1416323592827726,,Unknown,0,50.72512901754831,0,0,32.091709836478685,Bechar,30.970316
2026-05-06,2026-05-06 00:00:00,1,36.828824,4.971619,-10272.15,-99.99,,,7.048661167534272e-05,,0.15446103480050064,,Unknown,793,47.26323025959142,1,0,100.0,Bejaia,579.6338
2026-05-06,2026-05-06 00:00:00,1,34.919188,6.006627,21.54559224446615,919.6572639973958,-0.8303101857503256,-1.7736279964447021,6.928095395802798e-05,0.03006613385516321,0.14766979838351238,0.149,Unknown,0,13.97681547413892,0,0,38.18619226545112,Biskra,14.602518
2026-05-08,2026-05-08 00:00:00,1,27.162714,-1.528017,30.624040857950888,973.1754703776043,2.7288996378580728,2.6670239766438804,5.724916822859843e-05,0.031091470306477374,0.1356692643800705,0.14600000000000002,Unknown,0,0.0,0,0,20.854319563603447,Adrar,35.767483
2026-05-06,2026-05-06 00:00:00,1,36.483479,2.915771,15.820413208007835,959.2893473307292,-0.7432333628336588,-0.6879753271738688,0.0001121067689130677,0.02989622221912779,0.15635419440797882,0.19,Unknown,323,117.60073005272612,0,0,80.70456962670973,Blida,4.2769666
2026-05-08,2026-05-08 00:00:00,1,36.190065,2.087176,16.760759607950888,975.1888037109375,-0.6190821329752604,-0.42652257283528644,7.123541799489143e-05,0.02945364839575728,0.14935466924353605,0.123,Unknown,29,161.40216716607935,0,0,74.85115612679161,Ain-Defla,6.11828
2026-05-06,2026-05-06 00:00:00,1,21.062749,1.122899,34.019143676757835,958.9168473307292,-1.5670045216878254,-2.7546664079030356,4.576182459285277e-05,0.026500802125205655,0.12138108686887636,0.048,Unknown,0,58.313286240020695,0,0,10.02874604578366,Bordj Baji Mokhtar,20.691687
2026-05-08,2026-05-08 00:00:00,1,35.495151,-1.253336,-10272.15,-99.99,,,8.835532508615577e-05,0.03678662553017504,0.15675202656260911,0.224,Unknown,0,0.0,0,0,100.0,Ain-Temouchent,20.62288
2026-05-06,2026-05-06 00:00:00,1,36.072944,4.66996,14.70526021321615,902.1785139973958,-0.9466838836669922,-1.3822705745697021,8.734468403182449e-05,0.02822489560924119,0.15289224133199852,,Unknown,917,90.58000708126629,1,0,83.39112499629827,Bordj Bou Arrer,31.171112
2026-05-08,2026-05-08 00:00:00,1,36.776493,3.07038,-10272.15,-99.99,,,0.0001372046271099013,,0.15110720827806207,0.181,Unknown,5088,326.22079496512896,5,1234,100.0,Alger,486.13736
2026-05-06,2026-05-06 00:00:00,1,36.256023,3.785109,15.53436177571615,943.4926806640625,-0.07485771179199219,-1.311876694361369,9.056784755714955e-05,0.028282043858400406,0.15629603556514912,0.224,Unknown,131,55.480204753679374,0,0,85.18285898056419,Bouira,11.662962
2026-05-06,2026-05-06 00:00:00,1,36.860151,3.769201,16.93182271321615,996.0889306640624,-1.481636683146159,-0.7948275407155355,9.188464806145471e-05,0.031203520591121667,0.15976374873980367,0.21400000000000002,Unknown,126,79.95551574629822,0,0,85.44328310278807,Boumerdes,-7.735451
