fold,train_size,val_size,train_r2,val_r2,train_rmse,val_rmse,train_mae,val_mae
1,4836,4835,0.601644479128116,0.26058643927362835,4.815044326442272,6.558861164091952,3.0730096037356436,3.2561433781013394
2,9671,4835,0.4617014254952426,0.04099842589520397,5.613158745820168,34.17271586581757,2.836425255839069,5.341803444153666
3,14506,4835,0.12481691981879739,0.2717070463348483,19.78751317949154,5.113885730099092,3.9908637979711616,3.1776880723818124
4,19341,4835,0.12911368166164294,0.4503431564335497,17.322098753279754,5.245395277070124,3.658205240003175,3.240958978723891
5,24176,4835,0.14907941119282153,0.05817537552827212,15.598422568566264,18.416105550803792,3.646136296349898,3.404444357794917
